TheoryID,Name,Ascending Intervals,Descending Intervals,Tonic,Tuning,Culture,Country,Region,SocID,,Reference,RefID,Primary_source?,Reduced_scale,Notes
T0127,Mela Varunapriya,2;1;2;2;3;1;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0128,Mela Mararanjani,2;2;1;2;1;1;3,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0129,Mela Charukesi,2;2;1;2;1;2;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0130,Mela Sarasangi,2;2;1;2;1;3;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0131,Mela Harikambhoji,2;2;1;2;2;1;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0132,Mela Dheerasankarabharanam,2;2;1;2;2;2;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0133,Mela Naganandini,2;2;1;2;3;1;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0134,Mela Yagapriya,3;1;1;2;1;1;3,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0135,Mela Ragavardhini,3;1;1;2;1;2;2,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
T0136,Mela Gangeyabhushani,3;1;1;2;1;3;1,N/A,1,Just,Carnatic,India,South Asia,Car9,,"M. J. Hewitt. Musical Scales of the World. Note Tree, 2013",1,N,Y,N/A
